# csv2chart.y-axis=nanoseconds
argument                                ,           divide
655                                     ,           2709.7
656                                     ,           2804.2
657                                     ,           2559.7
658                                     ,           2797.0
659                                     ,           2867.1
660                                     ,           2740.3
661                                     ,           2744.6
662                                     ,           2845.1
663                                     ,           2764.9
664                                     ,           2797.5
665                                     ,           2668.4
666                                     ,           2704.4
667                                     ,           2747.5
668                                     ,           2770.4
669                                     ,           2856.3
670                                     ,           2789.9
671                                     ,           2775.8
672                                     ,           2564.7
673                                     ,           2623.7
674                                     ,           2779.9
675                                     ,           2806.6
676                                     ,           2807.9
677                                     ,           2710.6
678                                     ,           2741.0
679                                     ,           2835.3
680                                     ,           2873.8
681                                     ,           2898.1
682                                     ,           2883.5
683                                     ,           2884.1
684                                     ,           2921.6
685                                     ,           2881.3
686                                     ,           2977.7
687                                     ,           2989.5
688                                     ,           2830.9
689                                     ,           3118.4
690                                     ,           2778.3
691                                     ,           2995.5
692                                     ,           2803.2
693                                     ,           2963.4
694                                     ,           2923.0
695                                     ,           2981.9
696                                     ,           2882.3
697                                     ,           2871.2
698                                     ,           2849.9
699                                     ,           2826.8
700                                     ,           3004.1
701                                     ,           3017.1
702                                     ,           3231.8
703                                     ,           2996.5
704                                     ,           2914.5
705                                     ,           2695.0
706                                     ,           2870.7
707                                     ,           2973.7
708                                     ,           2841.9
709                                     ,           2946.7
710                                     ,           2768.3
711                                     ,           2922.4
712                                     ,           2993.8
713                                     ,           2893.0
714                                     ,           2832.1
715                                     ,           2958.5
716                                     ,           2820.6
717                                     ,           2882.7
718                                     ,           3097.6
719                                     ,           3098.3
720                                     ,           2965.7
721                                     ,           2846.2
722                                     ,           3021.5
723                                     ,           3078.1
724                                     ,           3006.5
725                                     ,           2955.0
726                                     ,           2950.5
727                                     ,           3082.0
728                                     ,           3091.1
729                                     ,           2981.1
730                                     ,           3189.8
731                                     ,           2976.4
732                                     ,           3035.9
733                                     ,           2987.2
734                                     ,           3111.7
735                                     ,           3272.3
736                                     ,           2892.9
737                                     ,           2963.5
738                                     ,           3042.2
739                                     ,           3088.3
740                                     ,           3111.8
741                                     ,           3123.4
742                                     ,           3075.4
743                                     ,           3102.5
744                                     ,           3223.8
745                                     ,           3245.6
746                                     ,           3174.4
747                                     ,           3145.5
748                                     ,           3168.4
749                                     ,           3170.8
750                                     ,           3193.4
751                                     ,           3274.4
752                                     ,           3137.4
753                                     ,           3082.3
754                                     ,           3343.9
755                                     ,           3201.2
756                                     ,           3157.0
757                                     ,           3048.5
758                                     ,           3235.6
759                                     ,           3237.1
760                                     ,           3309.1
761                                     ,           3240.6
762                                     ,           3335.7
763                                     ,           3350.0
764                                     ,           3397.9
765                                     ,           3391.9
766                                     ,           3468.5
767                                     ,           3261.2
768                                     ,           3003.8
769                                     ,           2851.6
770                                     ,           3080.0
771                                     ,           3081.7
772                                     ,           3155.8
773                                     ,           3020.6
774                                     ,           3121.4
775                                     ,           3205.1
776                                     ,           3096.7
777                                     ,           3140.7
778                                     ,           3124.2
779                                     ,           3121.9
780                                     ,           3052.8
781                                     ,           3233.8
782                                     ,           3192.0
783                                     ,           3223.5
784                                     ,           3150.9
785                                     ,           3176.6
786                                     ,           3095.6
787                                     ,           3101.9
788                                     ,           3172.4
789                                     ,           3423.9
790                                     ,           3412.0
791                                     ,           3448.9
792                                     ,           3276.8
793                                     ,           3192.8
794                                     ,           3545.2
795                                     ,           3706.5
796                                     ,           3370.6
797                                     ,           3418.0
798                                     ,           3296.0
799                                     ,           3330.5
800                                     ,           3113.5
801                                     ,           3016.4
802                                     ,           3337.0
803                                     ,           3344.9
804                                     ,           3369.0
805                                     ,           3376.1
806                                     ,           3468.9
807                                     ,           3515.0
808                                     ,           3265.5
809                                     ,           3397.4
810                                     ,           3343.8
811                                     ,           3361.2
812                                     ,           3527.4
813                                     ,           3430.2
814                                     ,           3331.8
815                                     ,           3309.4
816                                     ,           3472.9
817                                     ,           3427.2
818                                     ,           3376.9
819                                     ,           3473.6
820                                     ,           3411.3
821                                     ,           3294.6
822                                     ,           3489.5
823                                     ,           3400.3
824                                     ,           3545.3
825                                     ,           3507.9
826                                     ,           3578.4
827                                     ,           3542.3
828                                     ,           3464.2
829                                     ,           3574.0
830                                     ,           3535.3
831                                     ,           3646.7
832                                     ,           3474.1
833                                     ,           3278.0
834                                     ,           3378.1
835                                     ,           3384.2
836                                     ,           3456.2
837                                     ,           3454.7
838                                     ,           3415.3
